kind,run_id,batch,n_ids,n_needed_fetch,n_served,n_rows,seconds,seconds_per_source,source_id,n_transits_used,verdict
source,m6_cache_20260824T181908,11,,,,73,0.021,,4.2126271379469906e+18,608.0,SPURIOUS
source,m6_cache_20260824T181908,11,,,,77,0.021,,4.616146191642331e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,11,,,,73,0.021,,2.0582057133391217e+18,608.0,SPURIOUS
source,m6_cache_20260824T181908,11,,,,88,0.021,,6.081541719686046e+18,702.0,SPURIOUS
source,m6_cache_20260824T181908,11,,,,75,0.019,,1.456415026297477e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,11,,,,81,0.05,,6.005815502025093e+18,649.0,SPURIOUS
source,m6_cache_20260824T181908,11,,,,88,0.02,,1.349949010439191e+18,702.0,SPURIOUS
source,m6_cache_20260824T181908,11,,,,95,0.02,,6.225739641707166e+18,781.0,SPURIOUS
source,m6_cache_20260824T181908,11,,,,81,0.019,,5.35623289716597e+18,649.0,SPURIOUS
source,m6_cache_20260824T181908,11,,,,81,0.022,,5.593444799901902e+18,649.0,SPURIOUS
batch,m6_cache_20260824T181908,12,20.0,1.0,0.0,0,0.0,0.0,,,
source,m6_cache_20260824T181908,12,,,,115,0.021,,2.071382226300927e+18,824.0,CONFIRMED
source,m6_cache_20260824T181908,12,,,,62,0.018,,5.580526947012631e+18,515.0,SPURIOUS
source,m6_cache_20260824T181908,12,,,,75,0.02,,5.835518743163172e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,12,,,,75,0.02,,5.530442371304583e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,12,,,,88,0.02,,1.4344454482406774e+18,702.0,SPURIOUS
source,m6_cache_20260824T181908,12,,,,95,0.019,,2.1966193838354836e+18,781.0,SPURIOUS
source,m6_cache_20260824T181908,12,,,,97,0.021,,3.389767036738482e+18,637.0,SPURIOUS
source,m6_cache_20260824T181908,12,,,,81,0.018,,5.446811042991543e+18,649.0,SPURIOUS
source,m6_cache_20260824T181908,12,,,,95,0.022,,2.366362710482784e+18,781.0,SPURIOUS
