band,donor,f_true,inject_psf,recover_psf,f_rec,ratio,lam_um
4-medium,con,0.3,gauss,epsf,0.2511024030578486,0.8370080101928287,22.823000552598387
4-medium,con,0.3,epsf,gauss,0.3415545401297239,1.1385151337657464,22.823000552598387
4-medium,con,0.3,epsf,epsf,0.29875973295079916,0.995865776502664,22.823000552598387
4-short,con,0.01,gauss,gauss,0.009703036591992276,0.9703036591992276,19.527000778820366
4-short,con,0.01,gauss,epsf,-0.005981077235122356,-0.5981077235122356,19.527000778820366
4-short,con,0.01,epsf,gauss,0.022669140027628074,2.266914002762807,19.527000778820366
4-short,con,0.01,epsf,epsf,0.010525063545591407,1.0525063545591407,19.527000778820366
4-short,con,0.02,gauss,gauss,0.019398498930252504,0.9699249465126252,19.527000778820366
4-short,con,0.02,gauss,epsf,0.00402870638192991,0.2014353190964955,19.527000778820366
4-short,con,0.02,epsf,gauss,0.03101140177467717,1.5505700887338585,19.527000778820366
4-short,con,0.02,epsf,epsf,0.01931455895495819,0.9657279477479096,19.527000778820366
4-short,con,0.05,gauss,gauss,0.04988694434630026,0.9977388869260052,19.527000778820366
4-short,con,0.05,gauss,epsf,0.034524128288513964,0.6904825657702792,19.527000778820366
4-short,con,0.05,epsf,gauss,0.061697732568301,1.23395465136602,19.527000778820366
4-short,con,0.05,epsf,epsf,0.04978734077169514,0.9957468154339028,19.527000778820366
4-short,con,0.1,gauss,gauss,0.10002095076628939,1.0002095076628938,19.527000778820366
4-short,con,0.1,gauss,epsf,0.08464403201222209,0.8464403201222209,19.527000778820366
4-short,con,0.1,epsf,gauss,0.11337707224861947,1.1337707224861946,19.527000778820366
4-short,con,0.1,epsf,epsf,0.10145950112472675,1.0145950112472675,19.527000778820366
4-short,con,0.3,gauss,gauss,0.29950433748950267,0.9983477916316756,19.527000778820366
4-short,con,0.3,gauss,epsf,0.284955435390583,0.9498514513019434,19.527000778820366
4-short,con,0.3,epsf,gauss,0.3116026794394971,1.038675598131657,19.527000778820366
4-short,con,0.3,epsf,epsf,0.3004028607907824,1.001342869302608,19.527000778820366
