IAUNAME,DETUID,RA,DEC,DET_LIKE_0,ML_RATE_1,ML_EXP_1
3eRASS J152655.4-463646,sm03_232138_020_ML00021_001_c030,231.7311966056672,-46.612849132061015,250.94467,0.24808392,427.1199
3eRASS J204948.2-451253,sm03_312135_020_ML00018_001_c030,312.45116649157484,-45.21481932468399,177.43047,0.24745595,264.51315
3eRASS J113230.1-024621,sm03_173093_020_ML00014_001_c030,173.12565005249016,-2.772500291743319,184.75365,0.24694763,276.29895
3eRASS J095532.2+170405,sm03_149072_020_ML00018_001_c030,148.88436103576115,17.068096648418333,159.21748,0.24358211,213.00432
3eRASS J081334.1-063537,sm03_125096_020_ML00021_001_c030,123.39222780922479,-6.5938434211336725,168.62543,0.24356742,220.44948
3eRASS J064150.9-041957,sm03_101093_020_ML00009_001_c030,100.46228759930044,-4.3327067939773,187.65826,0.24136718,265.08398
3eRASS J040018.2-103729,sm03_059102_020_ML00028_001_c030,60.07624867791915,-10.6248262701352,263.71588,0.24122101,412.90674
3eRASS J082833.6-335015,sm03_129123_020_ML00007_001_c030,127.1400889363458,-33.83768641038351,133.87737,0.24096586,337.15186
3eRASS J055932.1+043041,sm03_089084_020_ML00011_001_c030,89.88398630339381,4.511593544697422,227.66934,0.24069265,300.49414
3eRASS J073357.7+160242,sm03_112075_020_ML00023_001_c030,113.49083098036755,16.045003405904495,151.9832,0.24033406,236.63249
3eRASS J053029.2+033030,sm03_083087_020_ML00053_001_c030,82.62171486747401,3.508374492494064,252.32716,0.24030085,359.6018
3eRASS J081656.8-534211,sm03_126144_020_ML00015_001_c030,124.23705213873636,-53.70306371115784,365.9778,0.23990938,598.3989
3eRASS J061512.2-242341,sm03_092114_020_ML00028_001_c030,93.80108384173406,-24.39498797219779,239.12614,0.23918527,345.93033
3eRASS J205833.0-482030,sm03_314138_020_ML00023_001_c030,314.63770483576155,-48.341680079182325,173.70627,0.2387844,259.97958
3eRASS J114531.2+091022,sm03_177081_020_ML00017_001_c030,176.38007460125172,9.172882932213284,196.25072,0.23835805,274.8151
3eRASS J103225.7-243707,sm03_157114_020_ML00015_001_c030,158.1071070976818,-24.618793985442647,192.30566,0.2374183,277.26462
3eRASS J053520.4-052057,sm03_083096_020_ML00048_001_c030,83.83532530856336,-5.349421233623975,48.563522,0.23673797,371.4233
3eRASS J115154.5+332243,sb03_178057_020_ML00043_001_c030,177.97744691382073,33.378640016083935,143.96007,0.23573668,234.67303
3eRASS J075853.3-213236,sm03_119111_020_ML00027_001_c030,119.7224084884622,-21.54358515301211,165.52547,0.23571433,284.7741
3eRASS J092421.1+365339,sm03_140054_020_ML00031_001_c030,141.08794738141188,36.894221121097246,164.77878,0.23563544,236.84651
3eRASS J055622.7+283819,sb03_087060_020_ML00009_001_c030,89.09494611218764,28.63886080219292,232.91963,0.23554972,289.72632
3eRASS J235110.5-465922,sm03_358138_020_ML00028_001_c030,357.79397933721293,-46.98962410944213,155.86205,0.23529734,284.74716
3eRASS J232035.9-684117,sm03_348159_020_ML00029_001_c030,350.14984048132675,-68.68807892478264,243.7121,0.23353635,395.20264
3eRASS J221817.7-623148,sm03_332153_020_ML00025_001_c030,334.5740838764237,-62.53024072145066,183.69643,0.23261493,334.39963
3eRASS J231129.5-435647,sm03_350135_020_ML00030_001_c030,347.87321191127194,-43.94653572791616,163.4416,0.23183787,275.354
3eRASS J104504.2+114508,sm03_160078_020_ML00030_001_c030,161.26790582423328,11.752286487854192,128.34158,0.22897467,199.12492
3eRASS J130427.6-293353,sm03_197120_020_ML00028_001_c030,196.115389440193,-29.564821439909412,249.7306,0.22880378,422.11783
3eRASS J192530.1-463339,sm03_293138_020_ML00029_001_c030,291.3756257320962,-46.56085885396206,125.827644,0.22844312,255.91345
3eRASS J114410.9+054755,sm03_176084_020_ML00005_001_c030,176.04580345678986,5.79882745657805,85.127205,0.22784536,279.8191
3eRASS J001308.4-462522,sm03_002135_020_ML00043_001_c030,3.285221438197647,-46.4228510863306,139.26654,0.2273568,246.04373
3eRASS J063045.5+065806,sm03_098084_020_ML00025_001_c030,97.68996508607418,6.968541383813152,147.6527,0.22693369,254.2369
3eRASS J084032.2-251307,sm03_131114_020_ML00019_001_c030,130.13445841973385,-25.21870348259812,174.05528,0.22660379,283.82355
3eRASS J063713.5-404614,sm03_101132_020_ML00020_001_c030,99.30637541300752,-40.77057691877223,298.20804,0.22609757,545.7793
